,date_np,minutesAsleep,minutesAwake,weekend,sed_min,va_min,ma_min,ls_min,sum,pred
0,2014-08-30,445,13,True,532,74,181,193,19267,True
1,2014-09-01,540,9,False,730,44,70,136,10891,False
2,2014-09-02,370,19,False,676,163,61,68,19943,False
3,2014-09-03,481,12,False,732,57,77,112,11887,False
4,2014-09-04,374,20,False,750,112,70,100,15751,False
5,2014-09-05,330,0,False,821,74,87,107,14058,False
6,2014-09-06,533,0,True,576,70,135,147,18179,True
7,2014-09-07,334,0,True,771,75,95,114,11827,False
8,2014-09-08,531,0,False,631,149,72,90,21039,True
9,2014-09-09,502,0,False,734,62,64,96,11041,False
10,2014-09-10,350,0,False,774,87,102,127,19270,False
11,2014-09-12,378,9,False,893,20,47,85,5459,False
12,2014-09-13,529,14,True,786,21,35,49,4620,True
13,2014-09-14,504,56,True,600,49,61,147,10145,False
14,2014-09-15,314,20,False,848,68,64,73,11923,False
15,2014-09-16,498,32,False,746,58,62,65,11116,False
16,2014-09-17,403,55,False,744,66,68,85,13869,False
17,2014-09-18,388,5,False,763,131,67,72,16982,False
18,2014-09-19,339,29,False,865,49,46,102,8893,False
19,2014-09-20,359,10,True,782,88,62,128,16428,False
20,2014-09-21,346,12,True,928,50,41,55,5544,True
21,2014-09-22,403,69,False,779,75,46,58,11326,False
22,2014-09-23,362,21,False,839,37,96,75,11601,False
23,2014-09-24,324,26,False,810,54,63,153,9402,False
24,2014-09-25,376,17,False,801,46,51,84,7899,False
25,2014-09-26,550,4,False,857,18,28,32,3972,True
26,2014-09-27,760,68,True,614,121,153,136,30173,False
27,2014-09-28,370,41,True,580,97,149,196,13918,True
28,2014-09-29,441,19,False,787,27,58,95,8909,False
29,2014-09-30,407,19,False,715,67,74,108,10138,False
30,2014-10-01,453,42,False,716,109,59,64,16391,False
31,2014-10-02,338,10,False,898,55,43,55,8092,False
32,2014-10-03,486,30,False,712,51,62,94,10412,False
33,2014-10-05,526,30,True,700,18,30,53,3849,True
34,2014-10-06,456,46,False,831,32,44,96,7897,False
35,2014-10-07,422,32,False,733,49,88,86,9271,False
36,2014-10-08,400,45,False,740,104,70,76,16526,False
37,2014-10-09,456,11,False,845,29,35,53,5215,True
38,2014-10-10,302,9,False,971,39,52,54,7441,False
39,2014-10-11,516,42,True,545,71,85,178,14505,True
40,2014-10-12,455,22,True,661,69,94,110,13272,False
41,2014-10-13,365,26,False,876,44,41,82,7999,False
42,2014-10-14,366,27,False,795,36,81,98,8905,False
43,2014-10-15,429,16,False,660,147,108,100,23477,False
44,2014-10-16,361,20,False,803,53,54,122,10515,False
45,2014-10-17,359,20,False,670,139,75,158,21045,False
46,2014-10-18,373,9,True,798,87,47,87,10414,False
47,2014-10-20,938,0,False,744,21,46,91,6307,False
48,2014-10-21,302,14,False,870,37,90,113,9073,False
49,2014-10-22,245,7,False,1010,45,40,81,7680,False
50,2014-10-23,431,52,False,665,66,96,108,13569,False
51,2014-10-24,307,7,False,489,163,252,130,32278,False
52,2014-10-25,442,6,True,580,121,213,137,26566,False
53,2014-10-26,371,4,True,652,95,97,87,15349,False
54,2014-10-27,844,16,False,829,53,117,134,13243,False
55,2014-10-28,400,41,False,820,32,47,94,7638,False
56,2014-10-29,447,27,False,708,66,78,89,11486,False
57,2014-10-31,457,14,False,664,49,80,172,13234,False
58,2014-11-01,363,9,True,764,98,83,116,14276,False
59,2014-11-03,362,16,False,831,56,61,84,10172,False
60,2014-11-04,432,22,False,797,56,49,76,9171,False
61,2014-11-06,692,253,False,284,34,60,101,7087,False
62,2014-11-07,382,11,False,813,52,55,88,9329,False
63,2014-11-08,441,9,True,749,49,58,113,9223,False
64,2014-11-10,397,33,False,742,41,80,142,9718,False
65,2014-11-11,421,24,False,764,71,61,87,11988,False
66,2014-11-12,449,32,False,813,16,19,49,3181,True
67,2014-11-13,463,22,False,855,25,35,79,7076,False
68,2014-11-14,389,26,False,829,51,68,56,8186,False
69,2014-11-15,405,37,True,764,71,46,107,11823,False
70,2014-11-16,499,23,True,710,50,46,55,7613,True
71,2014-11-17,409,33,False,801,35,71,97,8197,False
72,2014-11-18,379,36,False,789,40,62,126,8784,False
73,2014-11-21,400,12,False,784,67,78,87,12264,False
74,2014-11-22,411,26,True,527,156,172,133,27895,True
75,2014-11-23,324,82,True,496,101,151,156,20101,False
76,2014-11-24,540,25,False,678,44,99,139,11577,False
77,2014-11-25,375,30,False,669,37,52,104,7433,False
78,2014-11-26,896,224,False,849,15,50,103,5562,False
79,2014-11-27,407,22,False,681,42,107,150,12371,False
80,2014-11-28,417,54,False,731,6,38,111,3045,False
81,2014-11-29,483,40,True,840,20,41,60,5133,True
82,2014-11-30,491,10,True,648,9,22,40,2745,True
83,2014-12-01,478,180,False,683,29,96,104,9133,False
84,2014-12-02,363,26,False,808,40,49,91,7807,False
85,2014-12-03,412,68,False,624,140,98,98,21385,False
86,2014-12-04,485,55,False,740,19,54,108,6194,False
87,2014-12-07,489,36,True,724,23,33,64,4882,True
88,2014-12-08,465,66,False,681,20,104,124,9812,False
89,2014-12-09,392,31,False,723,25,39,111,5302,False
90,2014-12-10,542,24,False,600,117,79,67,18133,False
91,2014-12-11,472,75,False,714,44,64,114,9819,False
92,2014-12-12,359,27,False,638,94,143,177,19302,False
93,2014-12-13,336,25,True,615,112,177,169,23832,False
94,2014-12-14,397,29,True,741,44,94,112,10046,False
95,2014-12-15,337,5,False,612,126,178,165,25543,False
96,2014-12-16,233,15,False,899,23,116,119,9292,False
97,2014-12-17,540,59,False,366,50,164,214,10380,True
98,2014-12-18,486,46,False,586,43,159,133,15270,False
99,2014-12-19,352,20,False,763,55,80,165,11617,False
100,2014-12-21,416,27,True,810,38,76,59,9887,False
101,2014-12-22,450,12,False,915,1,43,99,2463,False
102,2014-12-23,311,0,False,885,3,38,69,3721,False
103,2014-12-24,548,2,False,814,0,30,166,2544,False
104,2014-12-25,488,9,False,782,2,37,96,2779,False
105,2014-12-26,1108,70,False,646,0,39,166,3339,False
106,2014-12-27,419,21,True,729,4,73,187,5694,False
107,2014-12-28,297,25,True,837,8,53,116,3815,False
108,2014-12-29,509,4,False,593,43,188,194,12597,True
109,2014-12-30,464,8,False,728,13,88,132,9892,False
110,2015-01-01,289,17,False,875,41,102,106,10415,False
111,2015-01-02,565,132,False,482,24,73,146,7810,False
112,2015-01-03,557,48,True,441,85,151,151,19867,True
113,2015-01-05,340,31,False,730,82,101,118,16511,False
114,2015-01-06,348,47,False,638,69,76,93,17936,False
115,2015-01-07,511,42,False,716,133,116,77,16861,False
116,2015-01-09,304,14,False,756,70,109,177,14089,False
117,2015-01-10,453,11,True,674,38,72,104,10201,False
118,2015-01-11,523,27,True,502,63,92,124,11756,True
119,2015-01-12,454,32,False,833,45,102,84,11459,False
120,2015-01-13,345,30,False,537,10,167,241,11444,False
121,2015-01-14,457,28,False,665,53,143,154,13993,False
122,2015-01-15,332,33,False,761,31,110,172,13290,False
123,2015-01-16,348,5,False,715,86,133,136,16032,False
124,2015-01-18,318,26,True,691,58,71,88,13613,False
125,2015-01-19,523,12,False,856,25,74,116,6315,False
126,2015-01-20,331,29,False,611,11,159,238,11339,False
127,2015-01-21,333,14,False,797,29,88,60,9803,False
128,2015-01-22,488,10,False,786,46,120,100,9838,False
129,2015-01-23,344,29,False,784,44,101,131,10513,False
130,2015-01-24,438,19,True,626,19,92,236,7405,True
131,2015-01-25,732,4,True,802,21,88,150,10478,False
132,2015-01-27,545,48,False,707,74,83,82,12452,False
133,2015-01-28,349,22,False,844,48,104,67,13080,False
134,2015-01-30,423,26,False,761,35,83,108,12037,False
135,2015-02-01,299,0,True,736,53,157,125,22574,False
136,2015-02-02,391,17,False,722,82,128,130,12908,False
137,2015-02-03,379,19,False,724,50,124,117,17161,False
138,2015-02-04,377,29,False,691,60,111,107,12127,False
139,2015-02-05,427,42,False,735,34,106,133,10616,False
